69.9s 276 Epoch:1/51 || Epochiter: 30/202 || Iter: 30/10302 || Loc: 3.4685 Cla: 3.9162 Landm: 15.5344 || LR: 0.00100000 || Batchtime: 1.0289 s || ETA: 2:56:09
71.2s 277 Epoch:1/51 || Epochiter: 31/202 || Iter: 31/10302 || Loc: 3.1850 Cla: 3.8655 Landm: 14.4040 || LR: 0.00100000 || Batchtime: 1.0972 s || ETA: 3:07:50
74.2s 278 Epoch:1/51 || Epochiter: 32/202 || Iter: 32/10302 || Loc: 3.5563 Cla: 3.8703 Landm: 15.3336 || LR: 0.00100000 || Batchtime: 2.7912 s || ETA: 7:57:48
75.2s 279 Epoch:1/51 || Epochiter: 33/202 || Iter: 33/10302 || Loc: 3.3069 Cla: 3.7366 Landm: 15.0160 || LR: 0.00100000 || Batchtime: 0.7501 s || ETA: 2:08:23
76.3s 280 Epoch:1/51 || Epochiter: 34/202 || Iter: 34/10302 || Loc: 3.4973 Cla: 3.6435 Landm: 15.2525 || LR: 0.00100000 || Batchtime: 0.8915 s || ETA: 2:32:35
77.2s 281 Epoch:1/51 || Epochiter: 35/202 || Iter: 35/10302 || Loc: 3.3102 Cla: 3.7325 Landm: 15.7510 || LR: 0.00100000 || Batchtime: 0.7142 s || ETA: 2:02:13
80.5s 282 Epoch:1/51 || Epochiter: 36/202 || Iter: 36/10302 || Loc: 3.3733 Cla: 3.5279 Landm: 14.7863 || LR: 0.00100000 || Batchtime: 3.1121 s || ETA: 8:52:31
81.4s 283 Epoch:1/51 || Epochiter: 37/202 || Iter: 37/10302 || Loc: 3.1366 Cla: 3.6655 Landm: 13.9141 || LR: 0.00100000 || Batchtime: 0.7243 s || ETA: 2:03:55
82.4s 284 Epoch:1/51 || Epochiter: 38/202 || Iter: 38/10302 || Loc: 3.1401 Cla: 3.5826 Landm: 14.5142 || LR: 0.00100000 || Batchtime: 0.7759 s || ETA: 2:12:44
83.4s 285 Epoch:1/51 || Epochiter: 39/202 || Iter: 39/10302 || Loc: 2.9441 Cla: 3.6315 Landm: 13.3329 || LR: 0.00100000 || Batchtime: 0.8097 s || ETA: 2:18:30
86.7s 286 Epoch:1/51 || Epochiter: 40/202 || Iter: 40/10302 || Loc: 3.2068 Cla: 3.5938 Landm: 14.7032 || LR: 0.00100000 || Batchtime: 3.0764 s || ETA: 8:46:13
87.6s 287 Epoch:1/51 || Epochiter: 41/202 || Iter: 41/10302 || Loc: 2.8467 Cla: 3.5196 Landm: 12.4552 || LR: 0.00100000 || Batchtime: 0.6622 s || ETA: 1:53:15
88.6s 288 Epoch:1/51 || Epochiter: 42/202 || Iter: 42/10302 || Loc: 2.8654 Cla: 3.4887 Landm: 12.5856 || LR: 0.00100000 || Batchtime: 0.7975 s || ETA: 2:16:23
